iter	Logloss
0	0.6589220021
1	0.628081734
2	0.5987948688
3	0.5717731119
4	0.54658518
5	0.5238273114
6	0.5028030019
7	0.4839189586
8	0.4663777406
9	0.4497632379
10	0.4354084894
11	0.4210343729
12	0.4080872036
13	0.3965400551
14	0.3856245687
15	0.3752336841
16	0.3655002241
17	0.3568510268
18	0.3491828622
19	0.3416990836
20	0.3351895833
21	0.32917581
22	0.3235300087
23	0.3182665333
24	0.3134756878
25	0.3089262978
26	0.3049531686
27	0.3007904361
28	0.2972943659
29	0.2940695744
30	0.2909611943
31	0.2878253537
32	0.2849464973
33	0.2823705942
34	0.2798339676
35	0.2776638735
36	0.2758229078
37	0.2739467392
38	0.2721255682
39	0.2704861926
40	0.2690156624
41	0.2676400755
42	0.2662301331
43	0.2649837818
44	0.2638023643
45	0.262710748
46	0.261547672
47	0.2603927004
48	0.2593874557
49	0.2583629368
50	0.2575406854
51	0.2567712643
52	0.2559803947
53	0.2552276811
54	0.2544791968
55	0.2536930331
56	0.2531453283
57	0.2526542297
58	0.2522732397
59	0.2517202018
60	0.2512735369
61	0.2508705148
62	0.2503642598
63	0.2498902122
64	0.2493472784
65	0.2489707738
66	0.2486176499
67	0.2483475432
68	0.2480062843
69	0.2476059339
70	0.2471906862
71	0.2468277966
72	0.2465951895
73	0.2464064048
74	0.2462635656
75	0.2460946278
76	0.2458308495
77	0.2456062757
78	0.2454282054
79	0.2452048209
80	0.2450674702
81	0.2448552566
82	0.2445395267
83	0.2443942586
84	0.2441497197
85	0.2439523625
86	0.2438246952
87	0.2435763958
88	0.2434305664
89	0.2432452676
90	0.2430618312
91	0.2428982821
92	0.2427696491
93	0.242651277
94	0.2425232573
95	0.2424416705
96	0.242274337
97	0.2420860371
98	0.2419307607
99	0.2418476634
100	0.2416694539
101	0.2415240256
102	0.2413742952
103	0.2412542916
104	0.241151322
105	0.2410691262
106	0.2408919719
107	0.2407956583
108	0.2406363362
109	0.2404772001
110	0.2403652378
111	0.2402641999
112	0.2402206503
113	0.2400672844
114	0.2399754031
115	0.2398885573
116	0.239772203
117	0.2396811031
118	0.2395408646
119	0.2394625933
120	0.2394033982
121	0.2393583773
122	0.2392546308
123	0.2391765824
124	0.2390478761
125	0.2389611765
126	0.2389256341
127	0.2389156085
128	0.2388111099
129	0.2387249329
130	0.2385942424
131	0.238523776
132	0.2384328564
133	0.238297841
134	0.2381864293
135	0.238156571
136	0.2380677103
137	0.2380024586
138	0.2379901311
139	0.2379046561
140	0.2378223903
141	0.2377346994
142	0.2376169782
143	0.2375603844
144	0.2374940369
145	0.2374510925
146	0.2373424498
147	0.237322369
148	0.2372753501
149	0.2372119862
150	0.237116066
151	0.237034586
152	0.2370061984
153	0.2370010256
154	0.2369031295
155	0.2367958512
156	0.2367530265
157	0.2366039681
158	0.2365000358
159	0.2363731691
160	0.2362509749
161	0.2361575627
162	0.2360738639
163	0.2360390378
164	0.236009501
165	0.2359667885
166	0.2359208279
167	0.2358452864
168	0.2358153195
169	0.2358119987
170	0.2358107523
171	0.235753516
172	0.2357158478
173	0.2356899361
174	0.235599616
175	0.2355761432
176	0.2355342734
177	0.2355114611
178	0.2354669398
179	0.2354309066
180	0.2353855195
181	0.2353338756
182	0.2353313117
183	0.2352379637
184	0.23523128
185	0.2351220747
186	0.2350847771
187	0.2350746341
188	0.235005581
189	0.2349946766
190	0.2349682327
191	0.2349145928
192	0.2348199009
193	0.2347931145
194	0.2347119778
195	0.2345478793
196	0.2344916013
197	0.2344671169
198	0.234444713
199	0.2344373919
200	0.234417048
201	0.2343057039
202	0.2342966978
203	0.234280136
204	0.2342362454
205	0.234210879
206	0.2341825596
207	0.2341266475
208	0.2340268157
209	0.2339908932
210	0.2339633894
211	0.233930866
212	0.2338002928
213	0.2337371553
214	0.2336599605
215	0.2336004988
216	0.233586816
217	0.233542014
218	0.2335386619
219	0.2334801635
220	0.2334575009
221	0.23334579
222	0.2333081134
223	0.2333066464
224	0.233305339
225	0.2332677366
226	0.2332211167
227	0.2330867007
228	0.2330846466
229	0.2330378357
230	0.2330114905
231	0.2329496002
232	0.232896484
233	0.2328069361
234	0.2328015276
235	0.2327845752
236	0.2327562488
237	0.2326850355
238	0.2325837588
239	0.2325741693
240	0.2325025013
241	0.2323983357
242	0.2323950203
243	0.2323661231
244	0.2323233477
245	0.2322554113
246	0.2322087418
247	0.2321323114
248	0.2320824241
249	0.2320652442
250	0.2320146168
251	0.2320024363
252	0.2319323757
253	0.2318432945
254	0.2318065681
255	0.2317600432
256	0.2317378247
257	0.2316631784
258	0.231580854
259	0.231567197
260	0.2315144643
261	0.23150964
262	0.2315016529
263	0.2314793253
264	0.2314473944
265	0.2313834213
266	0.2312932716
267	0.2312648312
268	0.2312543966
269	0.2312339911
270	0.2311985001
271	0.2311900789
272	0.2311342828
273	0.2311179631
274	0.2310976847
275	0.2309738265
276	0.2309551544
277	0.2309497816
278	0.2308251959
279	0.230806789
280	0.2307940309
281	0.2306792352
282	0.2306495592
283	0.2305164534
284	0.2304544367
285	0.2304491437
286	0.2303554817
287	0.2302828035
288	0.2302175602
289	0.2301712538
290	0.2301480696
291	0.2301412529
292	0.2301073533
293	0.230081135
294	0.2300345589
295	0.2299837864
296	0.229935477
297	0.2298945124
298	0.2298590482
299	0.2298152702
300	0.2297943638
301	0.2297114298
302	0.229657481
303	0.2296317152
304	0.2296231238
305	0.2295888675
306	0.2295376754
307	0.2294940825
308	0.2294684923
309	0.2294113379
310	0.2293935679
311	0.2292903994
312	0.229210726
313	0.2291553471
314	0.2291205815
315	0.2290213237
316	0.2289681367
317	0.2288988418
318	0.2288686421
