iter	Passed	Remaining
408	4149	5996
409	4159	5984
410	4167	5972
411	4177	5961
412	4186	5949
413	4195	5938
414	4204	5927
415	4214	5916
416	4223	5904
417	4232	5893
418	4242	5882
419	4251	5871
420	4261	5861
421	4270	5849
422	4280	5838
423	4289	5827
424	4298	5815
425	4307	5803
426	4317	5793
427	4326	5782
428	4335	5770
429	4343	5758
430	4353	5747
431	4362	5736
432	4371	5724
433	4380	5713
434	4389	5701
435	4398	5690
436	4407	5678
437	4417	5667
438	4425	5655
439	4435	5644
440	4443	5633
441	4452	5621
442	4461	5609
443	4470	5598
444	4479	5587
445	4488	5575
446	4497	5564
447	4507	5553
448	4516	5542
449	4526	5531
450	4535	5521
451	4545	5510
452	4554	5499
453	4563	5487
454	4572	5476
455	4582	5466
456	4591	5455
457	4601	5444
458	4610	5433
459	4620	5423
460	4630	5414
461	4640	5404
462	4650	5393
463	4660	5384
464	4670	5373
465	4680	5363
466	4690	5352
467	4699	5342
468	4709	5331
469	4718	5321
470	4729	5311
471	4738	5300
472	4748	5290
473	4757	5279
474	4768	5270
475	4778	5260
476	4788	5250
477	4798	5240
478	4808	5230
479	4818	5220
480	4829	5211
481	4839	5201
482	4849	5190
483	4859	5180
484	4869	5170
485	4880	5161
486	4890	5151
487	4899	5140
488	4910	5131
489	4920	5121
490	4930	5110
491	4940	5100
492	4950	5090
493	4960	5080
494	4972	5073
495	4983	5063
496	4994	5055
497	5006	5046
498	5016	5036
499	5027	5027
500	5038	5018
501	5048	5008
502	5059	4998
503	5068	4988
504	5078	4978
505	5089	4968
506	5098	4957
507	5108	4947
508	5119	4938
509	5129	4928
510	5139	4918
511	5149	4908
512	5160	4899
513	5172	4890
514	5183	4881
515	5193	4871
516	5204	4862
517	5216	4854
518	5227	4844
519	5238	4835
520	5249	4826
521	5260	4817
522	5272	4808
523	5287	4802
524	5299	4794
525	5310	4785
526	5322	4777
527	5333	4768
528	5343	4757
529	5353	4747
530	5367	4740
531	5377	4730
532	5387	4720
533	5398	4710
534	5407	4700
535	5418	4690
536	5429	4681
537	5439	4671
538	5449	4661
539	5460	4651
540	5470	4641
541	5482	4633
542	5492	4622
543	5501	4611
544	5512	4601
545	5522	4591
546	5532	4581
547	5542	4571
548	5554	4562
549	5568	4555
550	5577	4545
551	5590	4536
552	5599	4526
553	5609	4516
554	5619	4505
555	5629	4495
556	5639	4485
557	5648	4474
558	5658	4463
559	5667	4452
560	5676	4442
561	5687	4432
562	5696	4421
563	5706	4411
564	5716	4400
565	5726	4390
566	5736	4381
567	5745	4369
568	5755	4359
569	5763	4348
570	5772	4337
571	5781	4325
572	5790	4314
573	5799	4303
574	5808	4293
575	5817	4282
576	5827	4272
577	5837	4262
