iter	Logloss
0	0.655550078
1	0.6221534802
2	0.5902446619
3	0.5640750558
4	0.5419149701
5	0.5236134623
6	0.5051054321
7	0.4906664981
8	0.4756054992
9	0.4617018942
10	0.4477843917
11	0.4365608122
12	0.427018367
13	0.420558309
14	0.4136768878
15	0.4071610451
16	0.401955867
17	0.3956408264
18	0.3898492771
19	0.3854515618
20	0.3804012843
21	0.3771227353
22	0.37434185
23	0.3701002654
24	0.3668368254
25	0.3638869444
26	0.3614545616
27	0.3594623708
28	0.3573065327
29	0.3554552816
30	0.3532363727
31	0.3512024965
32	0.3495040163
33	0.347814395
34	0.3462612731
35	0.345011777
36	0.3438978906
37	0.3432234999
38	0.3421424642
39	0.3411147638
40	0.3401246466
41	0.3390457204
42	0.3379451695
43	0.3373794981
44	0.336736527
45	0.3359875621
46	0.3352560708
47	0.3348153333
48	0.3341172153
49	0.3334964098
50	0.3327147358
51	0.332175144
52	0.3315119963
53	0.3310336868
54	0.3303989687
55	0.3299135242
56	0.329324594
57	0.3288951729
58	0.3283109183
59	0.3275588628
60	0.3271032121
61	0.326704861
62	0.3264178387
63	0.3259801027
64	0.3257157839
65	0.3255436208
66	0.3253149446
67	0.3249411449
68	0.3245969556
69	0.3243475008
70	0.3240959258
71	0.3237982537
72	0.3235872493
73	0.3233556486
74	0.3230718927
75	0.3228625362
76	0.3226155656
77	0.322320657
78	0.3221618352
79	0.3218806663
80	0.3211936132
81	0.3210011192
82	0.3208216009
83	0.3206395799
84	0.3204330935
85	0.3201958221
86	0.3197953058
87	0.3196782086
88	0.319500475
89	0.3193832964
90	0.3192209667
91	0.3190926694
92	0.3189365303
93	0.3188042053
94	0.3186204959
95	0.3183891377
96	0.3182680879
97	0.3181286692
98	0.3180318378
99	0.3177468753
100	0.317600463
101	0.3175046737
102	0.3173538576
103	0.3171730436
104	0.3167395232
105	0.3166271764
106	0.3165470664
107	0.3161010874
108	0.316012042
109	0.3159242783
110	0.3158556788
111	0.3155874694
112	0.3153462293
113	0.3152153608
114	0.3151423955
115	0.3147896114
116	0.3147408357
117	0.3146533333
118	0.3145702395
119	0.3144937672
120	0.3144787464
121	0.3143904002
122	0.3142014045
123	0.3139271064
124	0.3138731559
125	0.3137889068
126	0.3137040349
127	0.3136373091
128	0.3135785442
129	0.3134076319
130	0.3133150054
131	0.3132169496
132	0.3130695745
133	0.3129961674
134	0.3128840937
135	0.3125912224
136	0.3124233359
137	0.3123621761
138	0.3121077903
139	0.311998876
140	0.311874347
141	0.3117798349
142	0.3117361172
143	0.311663502
144	0.3115880307
145	0.3114984339
146	0.3114037064
147	0.3113477742
148	0.3112589194
149	0.3111869181
150	0.3110897589
151	0.3110235916
152	0.3109543678
153	0.3107688564
154	0.3107383706
155	0.3106700592
156	0.3106328314
157	0.3104847352
158	0.310389228
159	0.3102841575
160	0.3102074268
161	0.3101501047
162	0.3099903221
163	0.3099495485
164	0.3099415088
165	0.3098870595
166	0.3097410274
167	0.3096710211
168	0.3096278069
169	0.3095251642
170	0.3094780683
171	0.309458286
172	0.3094177244
173	0.3093217255
174	0.3092803235
175	0.3091864636
176	0.3091588997
177	0.3090297336
178	0.3089910439
179	0.3088826787
180	0.3088516996
181	0.3087410288
182	0.3086714966
183	0.3085901798
184	0.3085166511
185	0.3085108963
186	0.308488078
187	0.3084843313
188	0.3083987142
189	0.3083380697
190	0.3082862989
191	0.3082442272
192	0.3081835307
193	0.3081240551
194	0.3079933409
195	0.3079520497
196	0.3077892281
197	0.3077504648
198	0.3076866195
199	0.3076427563
200	0.3075892006
201	0.3075666477
202	0.3075291368
203	0.3074973317
204	0.3074379429
205	0.3074108122
206	0.307381522
207	0.3073270209
208	0.307259722
209	0.3071283595
210	0.3071251432
211	0.3070567313
212	0.3070162131
213	0.3069678229
214	0.3069020472
215	0.3068413491
216	0.3068118981
217	0.3067448716
218	0.3067107526
219	0.3066494047
220	0.3066124352
221	0.3065434886
222	0.3064483241
223	0.30619932
224	0.3061698511
225	0.3060749718
226	0.3060443163
227	0.3060105535
228	0.3058345046
229	0.3057898177
230	0.3057390823
231	0.3055993018
232	0.3055408696
233	0.3054528812
234	0.3054116856
235	0.3053974099
236	0.3052880578
237	0.3052562582
238	0.305225003
239	0.3051998249
240	0.3051649877
241	0.3051226471
242	0.3050662708
243	0.3050134888
244	0.3049495321
245	0.3049225519
246	0.3048965881
247	0.3048577285
248	0.3048364985
249	0.3048090006
250	0.304720918
251	0.3046960709
252	0.3046388024
253	0.3045332996
254	0.3044958795
255	0.3044049597
256	0.3043951951
257	0.3043300377
258	0.3043114367
259	0.3042534531
260	0.3041966403
261	0.3041461074
262	0.3041173604
263	0.30409534
264	0.3038789237
265	0.3038612998
266	0.3038109964
267	0.303792649
268	0.303642416
269	0.3035368414
270	0.3034744954
271	0.3034466887
272	0.3033903973
273	0.3033524269
274	0.3033158632
275	0.3032799157
276	0.3032521728
277	0.3032268515
278	0.3031698165
279	0.3031366335
280	0.3030842079
281	0.3030728398
282	0.3030175856
283	0.3029528255
284	0.3028718722
285	0.3027916538
286	0.3027667455
287	0.3027474852
288	0.3027260767
289	0.302680589
290	0.3026150382
291	0.3025735707
292	0.3025155924
293	0.3024917466
294	0.3024498963
295	0.3024146866
296	0.3023697989
297	0.3023286242
298	0.3020968755
299	0.3020508676
300	0.3018565806
301	0.3016291885
302	0.3016011003
303	0.3015826307
304	0.301539462
305	0.3014607072
306	0.3014278508
307	0.3013122986
308	0.3012813983
309	0.3012524084
310	0.3012400258
311	0.3012087922
312	0.3011708338
313	0.301073506
314	0.3008443711
315	0.3008196064
316	0.3007180792
317	0.3006907062
318	0.3006537102
319	0.3005086984
320	0.3004820939
321	0.3004583914
322	0.3003499189
323	0.3003161556
324	0.3003077334
325	0.3002853699
326	0.3002520783
327	0.3002079689
328	0.3001177889
329	0.3000934775
330	0.3000705614
331	0.300039266
332	0.3000173155
333	0.2999261627
334	0.299892866
335	0.299850641
336	0.2998194144
337	0.2997773038
338	0.2997510916
339	0.2997366322
340	0.2997033568
341	0.2996731099
342	0.2996511866
343	0.2996223057
344	0.2996009823
345	0.299588836
346	0.2994805496
347	0.2993830605
348	0.2993632026
349	0.2993346674
350	0.2993124538
351	0.2993008815
352	0.299280817
353	0.2992125065
354	0.2991754429
355	0.2991433364
356	0.2990843295
357	0.299054933
358	0.2990292219
359	0.2990063309
360	0.298907413
361	0.2988871737
362	0.2988700635
363	0.2988373759
364	0.2988257851
365	0.2987973106
366	0.2987740727
367	0.2987366983
368	0.2987107136
369	0.2986924811
370	0.2986667827
371	0.2985960686
372	0.2985793135
373	0.2985638128
374	0.2985415406
375	0.2985306846
376	0.2984967476
377	0.2984483372
378	0.2984332031
379	0.2984172619
380	0.2983820981
381	0.2983182132
382	0.2982898076
383	0.2982686216
384	0.2982474249
385	0.298228282
386	0.2982074363
387	0.2981993253
388	0.2981733713
389	0.2981406527
390	0.2981095508
391	0.2980876997
392	0.2980083835
393	0.2979503125
394	0.297948013
395	0.2979224359
396	0.2978993157
397	0.2978723713
398	0.2978479348
399	0.2978017073
400	0.2977762574
401	0.2977677626
402	0.2977533072
403	0.2977280885
404	0.2977069634
405	0.2976898799
406	0.2976472259
407	0.2976382884
408	0.2976146231
409	0.2975591842
410	0.2975318323
411	0.297509755
412	0.2974782358
413	0.2973333331
414	0.2973124017
415	0.2972961195
416	0.2972423723
417	0.2972149702
418	0.2971900109
419	0.297183604
420	0.2971624888
421	0.2971450155
422	0.2971425654
423	0.2970906426
424	0.2970718285
425	0.2970442347
426	0.2970303635
427	0.2970134558
428	0.2969974292
429	0.2969956466
430	0.2969655948
431	0.2969205792
432	0.296903492
433	0.2968396483
434	0.2968160546
435	0.2967903297
436	0.2967497476
437	0.2967381175
438	0.2967089925
439	0.2966598279
440	0.2966373195
441	0.2966303796
442	0.2965972939
443	0.2965951932
444	0.2965737193
445	0.2965250761
446	0.2964737831
447	0.2964573715
448	0.2964222226
449	0.2964042808
450	0.2963683395
451	0.2963550319
452	0.2963166424
453	0.2961902525
454	0.29616369
455	0.2961199423
456	0.2961069945
457	0.2961042554
458	0.296102991
459	0.2960734691
460	0.2960560332
461	0.2960413589
462	0.2960281274
463	0.296016249
464	0.2959700602
465	0.2959473491
466	0.295893687
467	0.2958812128
468	0.2958701058
469	0.2958424456
470	0.295819512
471	0.2957767245
472	0.2957591821
473	0.2957539349
474	0.2957400211
475	0.2957282469
476	0.2956945869
477	0.2956882425
478	0.2956628256
479	0.2956467288
480	0.2956313108
481	0.2956180272
482	0.2955786599
483	0.2955509137
484	0.2955417009
485	0.2955221655
486	0.2954151838
487	0.2954067111
488	0.2954019129
489	0.2953828053
490	0.2953677617
491	0.2953619817
492	0.2953209506
493	0.2953003194
494	0.2952805704
495	0.2952463733
496	0.29519917
497	0.295169247
498	0.2951487703
499	0.2951329961
500	0.2951202262
501	0.2950968283
502	0.2950926469
503	0.2950859387
504	0.2950665639
505	0.2950518383
506	0.2950117885
507	0.294971296
508	0.2949670058
509	0.294951552
510	0.2949377109
511	0.2949172889
512	0.2948506297
513	0.2948158642
514	0.2948032939
515	0.2947926534
516	0.2947610942
517	0.2947149895
518	0.294700683
519	0.2946796131
520	0.2946665067
521	0.2946605024
522	0.2946567453
523	0.2946454567
524	0.2946306506
525	0.2946272997
526	0.2946192726
527	0.2946140994
528	0.2945995562
529	0.2945734136
530	0.2945391234
531	0.2945349907
532	0.2945212422
533	0.2945048269
534	0.2944964667
535	0.2944860593
536	0.2944758643
537	0.2944688428
538	0.2944475659
539	0.2944152086
540	0.2943921117
541	0.2943826431
542	0.2943748826
543	0.2943600366
544	0.2943248202
545	0.2942996223
546	0.2942767574
547	0.2942549949
548	0.2942338821
549	0.2941927233
550	0.2941756528
551	0.2941720706
552	0.2941625952
553	0.2941484071
554	0.2940629474
555	0.2940508606
556	0.2940438725
557	0.2940337988
558	0.2940105041
559	0.2939814573
560	0.2939636763
561	0.2939546809
562	0.2939448772
563	0.2939367165
564	0.293925217
565	0.2939149699
566	0.2939029697
567	0.2938649634
568	0.2938311132
569	0.2938141751
570	0.2937882471
571	0.2937719811
572	0.2937354622
573	0.2937221915
574	0.2937124937
575	0.2936930226
576	0.2936622654
577	0.293655209
578	0.2936439228
579	0.2936091879
580	0.2935963733
581	0.2935785493
582	0.2935677216
583	0.2935585641
584	0.2935476594
585	0.293539075
586	0.2935131821
587	0.2935068643
588	0.2934987443
589	0.2934857122
590	0.293466949
591	0.293456465
592	0.293442012
593	0.2934359605
594	0.2934268635
595	0.2934128009
596	0.29337694
597	0.2933630831
598	0.2933069693
599	0.2932669915
600	0.2932533726
601	0.2932204662
602	0.2932040328
603	0.2931984325
604	0.2931701227
605	0.2931485368
606	0.2931426478
607	0.2931346307
608	0.2931227156
609	0.2931161348
610	0.2930977005
611	0.2930806111
612	0.2930463515
613	0.2930360902
614	0.2930266105
615	0.2930114428
616	0.2929743112
617	0.2929643808
618	0.2929430601
619	0.2929328573
620	0.2928990394
621	0.2928694543
622	0.2928495604
623	0.2928400483
624	0.2928141041
625	0.2927832592
626	0.2927744731
627	0.292765675
628	0.2927574459
629	0.2927283609
630	0.2926958616
631	0.2926580957
632	0.2926292783
633	0.2925797638
634	0.2925674926
635	0.2925624623
636	0.2925554387
637	0.2925237168
638	0.292519413
639	0.292487075
640	0.2924690986
641	0.2924508886
642	0.292439171
643	0.2924279055
644	0.29242307
645	0.292404762
646	0.2923837109
647	0.2923534461
648	0.292344537
649	0.2923299025
650	0.2923111293
651	0.2923035534
652	0.2922870655
653	0.2922810966
654	0.2922707657
655	0.2922661992
656	0.2922383205
657	0.292214257
658	0.2921411002
659	0.2921229692
660	0.2921125383
661	0.2921061943
662	0.2920921061
663	0.2920615046
664	0.2920368287
665	0.2920114051
666	0.2920032788
667	0.2919994877
668	0.2919741019
669	0.2919592727
670	0.2919348439
671	0.2919108014
672	0.291890155
673	0.2918863161
674	0.2918612501
675	0.2918488744
676	0.2918446298
677	0.2918281009
678	0.2918098074
679	0.2917915156
680	0.2917760121
681	0.2917643201
682	0.2917507023
683	0.2917417768
684	0.2917336089
685	0.2917296553
686	0.2917253478
687	0.2917080808
688	0.2916865614
689	0.2916822317
690	0.2916667751
691	0.2916581169
692	0.2916306739
693	0.2916220245
694	0.2916152411
695	0.291598821
696	0.2915736986
697	0.291550292
698	0.291543077
699	0.2915395374
700	0.2915310971
701	0.2915113468
702	0.2915038729
703	0.291492851
704	0.2914842861
705	0.291461252
706	0.29145699
707	0.2914496038
708	0.2914387709
709	0.2914059073
710	0.2913999081
711	0.2913967117
712	0.2913857126
713	0.2913785069
714	0.2913583656
715	0.2913508527
716	0.2913264394
717	0.2913072919
718	0.2912837786
719	0.2912647925
720	0.2912483838
721	0.2912403567
722	0.291221301
723	0.2912071766
724	0.2911976889
725	0.2911637178
726	0.2911517272
727	0.291142277
728	0.2911391482
729	0.2911174261
730	0.2911004138
731	0.2910885213
732	0.2910581122
733	0.2910530157
734	0.2910371351
735	0.2910179471
736	0.2910002152
737	0.2909661823
738	0.2909627653
739	0.290938612
740	0.2909254188
741	0.2909223202
742	0.2909157229
743	0.2909084346
744	0.2908869385
745	0.290876188
746	0.290865443
747	0.2908562914
748	0.2908468988
749	0.2908170078
750	0.2907726166
751	0.2907642939
752	0.2907544102
753	0.2907425191
754	0.2907207273
755	0.2906983548
756	0.2906388562
757	0.2906335897
758	0.2906254161
759	0.2906102559
760	0.2906073018
761	0.2905903004
762	0.2905868008
763	0.2905684215
764	0.290560577
765	0.290557911
766	0.2905410755
767	0.2905263725
768	0.2905236155
769	0.2905079325
770	0.2904914528
771	0.2904552828
772	0.2904323447
773	0.2904297404
774	0.2904096943
775	0.290392682
776	0.2903766934
777	0.2903645397
778	0.290353089
779	0.2903490308
780	0.2903211679
781	0.2903057402
782	0.2903009963
783	0.2902943696
784	0.2902865591
785	0.290267357
786	0.2902413365
787	0.2902319684
788	0.2902297134
789	0.2902268355
790	0.2901983092
791	0.2901949437
792	0.2901856371
